"auth_id","mid","access_time"
"AUBIT5W1A4UPJR6XQMGY","A9MGD6PRW1N7K","2016-03-24 16:24:13"
"AUMZO301CKS56HALGU8X","AZX848Q53S3XY","2016-03-24 16:24:44"
"AU5VUBT3WCQ6YEON9084","A18YQFG9YRCPGG","2016-03-24 16:24:46"
"AU7G6FLPVBWSHN5ZYRE8","A16M46MK3XDRCL","2016-03-24 16:25:15"
"AUHK4WS129PBIDYGZ8QJ","A5EU1AQJNC7F2","2016-03-24 16:25:16"
"AU3TF71QPAWY2DXG8KM4","AIXNGJXYV4Y07","2016-03-24 16:25:18"
"AU21GXTBRFJ85YUV9LDK","A3G7GSX2R7723Z","2016-03-24 16:25:22"
"AUMVF32Y1PSZBC4JGXK8","A229PBL3A53GIY","2016-03-24 16:25:36"
"AU4X63OAKJMPYFW0UZB9","A1I8DXIL52SU0","2016-03-24 16:25:36"
"AUQG89CMDYW5BVISFANP","A1CQEN52EYG0KW","2016-03-24 16:25:42"
"AUUB86MPEWR4FXZT3OJH","AY7WPVKHVNBLG","2016-03-24 16:25:52"
"AU8XBJ7KGY2TN05WPV4E","A30RLRJSCRLSO8","2016-03-24 16:26:08"
"AUSW1YLGHXQOTRK3N0EF","AU01P6YB9J5JX","2016-03-24 16:26:15"
"AUCXOHYMKT54SEPRDB9A","A36HFMF9Z4BGS8","2016-03-24 16:26:22"
"AUQA65R2X8ZMFB73W9CY","A6ORRFI3XOACA","2016-03-24 16:26:26"
"AUZ3IU97J2TNPKXH0YGW","AYDILOZLKOAS8","2016-03-24 16:26:29"
"AUIGXS1W5FVCARUO80ZN","A1CULUG66VHO3A","2016-03-24 16:26:36"
"AUH4GFEBVOI3D7P2QTYL","A2TE62AXP2E9CX","2016-03-24 16:26:44"
"AU8YU7P3HXW5LEC61MZ9","A3BDQO85R6WOO1","2016-03-24 16:28:19"
"AUB74LVD2P6GCH5JI1YN","APUPF3D94XYUQ","2016-03-24 16:27:51"
"AU2TQ1FYLMRBD347I80H","A2H5V1V8QIY8Y7","2016-03-24 16:28:04"
"AU9OUC4YAQV6SM0KI8PE","A1GRN111GB7MPR","2016-03-24 16:28:56"
"AUPFEQ9B7DKMG45IR2Z6","A1CH4IS0ZS32Z4","2016-03-24 16:29:16"
"AU0G1XAT98KVQC25YD63","A39C2BMV7KZ02W","2016-03-24 16:29:19"
"AUXAPR62STVQKWIDJ45E","A3MLUEOP3CCLXL","2016-03-24 16:29:34"
"AUMQ7KD62U5GVW9ZA381","A2IXBTOWQRCLPZ","2016-03-24 16:29:35"
"AU1I24FYT6VKMGOUD0JR","AHL9R5ME7SLJZ","2016-03-24 16:29:40"
"AUJR7QU261F84MT3OZ9E","A1OZPLHNIU1519","2016-03-24 16:30:24"
"AUP2FX4V7WDBN690R58O","A1FGKIKJYSL1MI","2016-03-24 16:30:45"
"AUM9KV1OUR6DGIE743T2","A346UAH34GVOZX","2016-03-24 16:31:52"
"AUT75PZO24SJFAQW8EHI","A2505LAOT74V4D","2016-03-24 16:32:18"
"AUXAJEYIGULW4DBHM3VP","A324FQ64NCN2YS","2016-03-24 16:32:58"
"AUS3D7TXELPZUGNMYH56","A2SMROLJ39OR74","2016-03-24 16:33:24"
"AU34IZO8QLBCKU0V29D1","AJZ9B93NZ2IST","2016-03-24 16:57:05"
"AU0ODT5AE89UXFBM3L2N","A2CGCAQA2IKLRV","2016-03-24 16:33:43"
"AUMV4NE98UFZ5J2GCTA3","A2XM6C78S9L8UG","2016-03-24 16:33:48"
"AUJ69SM7A4NGOL5KZHPD","A392P1JQB1KR2E","2016-03-24 16:34:54"
"AU1SK8IMNP934ZGA7R2T","AZMH3WO2SKLVY","2016-03-24 16:35:05"
"AUN67FX9EWJ4URSTKH1G","AXJSZ1BBVYIYL","2016-03-24 16:35:07"
"AU8Y6TNO0KF1W3JVHPB2","A1JNC3HWWHJD2J","2016-03-24 16:35:36"
"AUWFIU3EJ6R7AD8GXMP0","A1SEDU33YKA840","2016-03-24 16:35:52"
"AUFKIOJDXE8HPB7Z0VCW","A1T9IKE8GV4LR4","2016-03-24 16:35:54"
"AU9FEM16JWBU23YPXSRT","A78RWQ5BX61DS","2016-03-24 16:36:03"
"AU78H41UGBM90AXTEJPZ","A2D31RFRY0SJEP","2016-03-24 16:37:23"
"AUYF8HGLWPXOIUBVSN4A","A12FW1MJI7D58X","2016-03-24 16:37:34"
"AUPWJO8QBMC2H6G097IF","A19DKG0VHTICSX","2016-03-24 16:37:43"
"AU63HO87C9LXTAEGQKUY","A1EMBQB8FM6EZH","2016-03-24 16:39:01"
"AU51IRVUO6C24ZNPS38T","A175ZTL2OZO9YU","2016-03-24 16:39:21"
"AUB8E7VGZFI1YJL6PXS0","A1F1OZ54G177D8","2016-03-24 16:39:55"
"AU0LFJQWSNZEIUP16C7A","A1BHINLXH3E2GJ","2016-03-24 16:40:46"
"AU891ZX5TVB2YC6E03MQ","A27OFCQG73Z4UF","2016-03-24 16:41:25"
"AULTUQHAJ18IPORCE7BK","A7T06JMP6BTDS","2016-03-24 16:42:47"
"AU4KB8UXDHECP2GW1YFS","AXW5865MPP85D","2016-03-24 16:49:30"
"AUPR179G0VXI2CWLOSDF","A3SCEZTWZYV3BC","2016-03-24 16:50:09"
"AUSKANGPEWVQRY4M8JF2","A2I58SHMMQGBG0","2016-03-25 15:38:18"
"AUVY0NL8FJM9R2TC1O57","A368UU9FU3HDP2","2016-03-24 16:55:51"
"AUOSAGJ3QP9RYFIBCZWM","A2LFZ2FDQLXVCL","2016-03-24 16:59:03"
"AU3CSW8MJT12O9P0HLA6","A2OX7JLY6741WG","2016-03-24 17:00:36"
"AUU46BNG5QOEXP1VFIW0","A224B7BAQ0MZSN","2016-03-24 17:01:00"
"AUIMGTYB839D07JCEVHR","A5CIY4V1VV1DR","2016-03-24 17:21:20"
"AU7OY0MBZV6GFCRNK3L5","A1O0QLF543UTYK","2016-03-24 17:10:45"
"AU84MFKAY3ISW6XP5JU9","A1R93MQYAFEVX1","2016-03-24 17:10:42"
"AUCKU05JXQIYL3WTFR1S","A3WL9JBFWNZAB","2016-03-24 17:13:20"
"AUHTSLYMJ4U6DQNE58IW","A14D297BQB6QF3","2016-03-24 17:13:42"
"AUFKLOWR63CSTVNM0AYD","A2RRC5B4M80XXO","2016-03-24 17:19:38"
"AUK2BN19Q3WIRO7YD8ZF","A2OVWCQ4B9AHFY","2016-03-24 17:25:52"
"AUOAE3BITF7VSM9HZ582","AKPWMXELL6ZLF","2016-03-24 17:30:06"
"AUPBCUW2D3J5MLX16R90","A2DNWDHMMBSHWT","2016-03-24 19:12:59"
"AU34IUXMVBNOWJG962L7","AFXE92S04IYHY","2016-03-24 18:41:56"
"AUJUBIVK2SWY8043ZXER","A1SO9R81HMMIQD","2016-03-24 18:36:01"
"AUL1N3CVPRIS7FJHGEKW","AAM0Q3DCSSQ0A","2016-03-24 19:17:23"
"AU9KARUDJFN80G6YBHSV","A2R2DSKELISGU","2016-03-24 18:44:35"
"AUPH7DWXYS6LITM2FZU3","AXPRCC7MG94OA","2016-03-24 18:48:24"
"AU9ID3BLWFHN0K4PJ8TZ","A39MOCMDRIOSJM","2016-03-24 19:23:52"
"AU4UF0RCGVJSIKHN6LWY","A1V6CP5I0TOSAR","2016-03-24 19:16:49"
"AUNA950ME3SYLJOI12R7","A2UZXRV8QU8TGS","2016-03-24 19:23:05"
"AU7KPGVJZH0UX521D6LO","AY0JQAVSVSGP","2016-03-24 19:25:58"
"AUUGPB8DISTOVC4XJYRW","A211HK32QNTYX1","2016-03-24 19:29:31"
"AUH0N32TA6DGE4SUV1FO","A3MPHGI584PR1U","2016-03-24 20:02:33"
"AUKMNZT3Q82YB5CHW70A","AYNUK54JG6E2H","2016-03-24 20:06:59"
"AUR9VPBNAGU152CT7J8Y","A21LQA8TJRDQFZ","2016-03-24 20:28:03"
"AUPUVWYTE0GD43LONXAI","A1N8BW04V76ZSY","2016-03-24 20:29:26"
"AU9Z3FOUKE167DP5Q0IY","ANS68V7U97OR0","2016-03-24 20:32:46"
"AUMGLUPE9WF2RY3I4XB1","A359S477C2ZWER","2016-03-24 20:33:17"
"AUVCNI4GT9DAJWHPFKYZ","A9S6EGIY10U0X","2016-03-24 20:33:25"
"AUKRP0NOE1WMHCT9GVLD","ACRTRQ23XH20E","2016-03-24 20:40:18"
"AUGHAN2WEXQT8695F3ZS","A7IP59CHOHDYL","2016-03-24 21:24:38"
"AUQEO8KSZN2R4Y1D39X7","ANIY6K5ET7I9O","2016-03-24 21:10:42"
"AUYW4R6UPZ7HJBIN0812","AKIR8HB5FIT19","2016-03-24 21:28:21"
"AU2ZVFNIW7O9TRMXSPAJ","AS18U8QBF6PJF","2016-03-24 22:31:18"
"AUPSVBTN5HCY9XGZ480J","A3IFO6ZUI1A0E2","2016-03-24 22:27:53"
"AUDNKE1W9XO4Q7LPYF6R","AGBDM85RLYTGL","2016-03-24 23:03:55"
"AUVS1TAEW7ZBJDU5G0I2","A2RAC1CU8YLGPC","2016-03-24 23:56:16"
"AU3EJX1K8TPY40MDLSNA","A2I9PUZT19ZBO8","2016-03-25 00:55:00"
"AUZD9TQRGOJNK8V4WE5S","A1J7NYHZRRE8TG","2016-03-25 00:30:25"
"AUYHWDL4EB60FXCGSIVR","A7CYU79YGRVQ8","2016-03-25 14:54:20"
"AUHYFVJMTOL8R7ZKXDBG","A3TOQ0247CDV5J","2016-03-25 14:54:31"
"AUF5R4AJ7V2LZWT68IGS","A62LZWGKLMBT2","2016-03-25 14:54:57"
"AUBLMZ91STJO3WYR2Q7K","A3C35EZLMLQUN8","2016-03-25 14:55:05"
"AUJMR90ZXK4EQFDLSB8W","A2TXC8Q2IFGRXH","2016-03-25 14:55:13"
"AU4UEKRX0BW2ZG5I8O3F","A3Q28O98H6KMKQ","2016-03-25 14:55:41"
"AUUHJK6MOCVQ4XDWGA3E","A5XQ30GQTHHK6","2016-03-25 14:55:56"
"AUHONJ2KPBDTZ09QW7LY","A2581F7TDPAMBQ","2016-03-25 14:55:59"
"AUZ0V8NE327CTQHYP15B","AB774I47XHB4K","2016-03-25 14:56:06"
"AUDC5NOUKWFAI7MRGLXT","A3U5UUXAHKF7VM","2016-03-25 14:56:58"
"AU8HRPI3EMV1ZYXNGUJA","A6JKKANO7F4KD","2016-03-25 14:57:02"
"AUTM0NIPBFZC3S91YL7J","A2TG7EEQ2XG2IK","2016-03-25 14:57:03"
"AUUOMIYPARVBLJHS9WQ4","A104HK5ONFNJJT","2016-03-25 14:57:06"
"AU7K9N6GJ1I84Y2D5XFC","AIC7C3C6ELTRF","2016-03-25 14:57:21"
"AU1GUFTK8EIBCQHSR9ZN","A3T9O5YB2YF110","2016-03-25 14:57:54"
"AUO51XC2MNTS9KJYZ6DE","A1M682B2WUSYJP","2016-03-25 14:58:17"
"AU9PME48Y7CI2DQAUK6R","A1DY3EW6Q0B5K5","2016-03-25 14:58:29"
"AU4JSCQYFEDHWXGBIUP7","A050383932MZW4XOYPJAY","2016-03-25 14:58:36"
"AU3DGMEJFONVXQUCPW0A","A3MBIX6DHJS68K","2016-03-25 14:58:44"
"AU5IWF9KDZBSCYMQN841","A30BF93F7EOSUS","2016-03-25 14:59:15"
"AU3XCNV1WUP7HAQZEIB8","A1EXJ6UPVC0CSE","2016-03-25 14:59:18"
"AUZ6N510COADMH7JIGST","A2KPTJMOIYHG69","2016-03-25 14:59:29"
"AUFX9P8WTBJDRUQVL762","A1FTR8DJIKGD8H","2016-03-25 14:59:35"
"AUMT14D2A9BRPH75KZGN","A31ZQLN5HTZZOS","2016-03-25 14:59:39"
"AUAZ82E3SFTUKNQ6BVPY","A161AJDHLJVCLZ","2016-03-25 15:00:07"
"AU3HEAMT7USOYP6L45CB","A3CKQH7DMVHQWN","2016-03-25 15:00:48"
"AU546FCEMPSNKJ9TA3R7","A3UIDFZ7IUOTUO","2016-03-25 15:01:07"
"AUWRB8HJ3MNYZLQGSA4T","A1IMXNDHFHG2IE","2016-03-25 15:01:12"
"AUPDT6AW05VMFQ9CYU3H","ADPH91GPUIVQH","2016-03-25 15:01:24"
"AU2KA38WNS1XIUTL4PZY","A2X8SEZX56LEAD","2016-03-25 15:01:43"
"AUHBFXP7NR56MVCQSIZ8","A30G98ZDOZMUVK","2016-03-25 15:01:49"
"AU5V28EZIO1TWQG6RLBC","A2H1QUGX0SOUMH","2016-03-25 15:02:02"
"AUDYK9RW2NCUAIHTJ5OZ","ARM1KHL1WNDJ5","2016-03-25 15:03:29"
"AUZX4103LADPBEY28FJC","ANI9GSEQ5SPWA","2016-03-25 15:03:34"
"AUS65PVB1YNX7MJ03TH2","A8RDXT4ZILHQT","2016-03-25 15:03:43"
"AUMW1I52BCG8QF37PV4N","A1TARNH07A75CG","2016-03-25 15:05:44"
"AU1ZORBXWHSV9T54Y8LP","AHPQVIEIBZOAS","2016-03-25 15:06:06"
"AUVFS52E9L1MHWNPUC38","AYA4YHEEEO1T8","2016-03-25 15:06:18"
"AUF6TUXWL0SNKP15VZQY","AWCD7E12GSX2Z","2016-03-25 15:06:22"
"AUFSKLBEG30PUW1CVT7N","A17FB78KGK0UC9","2016-03-25 15:07:04"
"AU15B2A7CMUOLZ3EI4V6","A3RS0C2W0SSY1S","2016-03-25 15:07:19"
"AUPR5FZ6D98S420Y3QA7","A2AKMVI7FKTHKJ","2016-03-25 15:08:11"
"AU9ZWQR8JIK137T4C56H","A34GXB9CLD01FZ","2016-03-25 15:08:28"
"AUN3OPF85CXUHAYGTWS7","AA74XMNWDPBW8","2016-03-25 15:11:12"
"AUV2X4EFNYL1QTDGM7C0","A3BKT9H4GNKLY7","2016-03-25 15:11:44"
"AUH62F3WJG54UKT8NZSM","ARDUQ0GJAHDW0","2016-03-25 18:50:56"
"AU9W7JERS2GOZNM0PAU4","A21I1WYAFKXBC6","2016-03-25 15:13:37"
"AUWXNIPMOR4JHD5ZVUBF","A3BXUXGB6M8H97","2016-03-25 15:14:11"
"AUJY7IA6GOKTZRFXDE84","AWY68ANFRTHWQ","2016-03-25 15:14:52"
"AUF1AVDU68O5WE4SMH0J","AV6OHMCX28R14","2016-03-25 15:14:55"
"AUFDU4ZOBPEVX9S2ILHJ","A1B1QF55I0BUXT","2016-03-25 15:18:42"
"AUMQ2KPLOGYCUJI5AEND","AXIW3PWKPDPCW","2016-03-25 15:20:58"
"AUDT45E9IWS3LZAX2V8B","A24BRTWG07T53Z","2016-03-25 15:22:41"
"AUPB0GSCM43UHOJXE1K7","AABO9DD3QVMGE","2016-03-25 15:23:23"
"AUX54WFI3ZVG6PT1JAL2","ACY779VO92XNJ","2016-03-25 15:24:16"
"AU8RXEVINMBJLS4WZQ3D","ABYEGU0MOOWRH","2016-03-25 15:24:28"
"AURDFX4Q62C1IAOENLMY","A1O0G56C5OLEX9","2016-03-25 15:24:49"
"AU3V9107X2ZGLPD4RIMH","A3PUU1XU4C1A3V","2016-03-25 15:25:22"
"AU7UP3E5JLQWHFKGNM19","A1N4P4XGQM7NXE","2016-03-25 15:26:20"
"AUW52E6HG1RZBVMF4TD0","A2O9DCJ35SXHXI","2016-03-25 15:26:33"
"AUB75HWTFM0XGSNL34C1","A2Q9QT2B8XRGJ5","2016-03-25 16:08:36"
"AU5J9O3GHACP2IXE8RMW","ATJBLM069WX0P","2016-03-25 15:27:10"
"AU0Y4GIMQO8VT1SR2BF3","A27PKWZBSLGXQA","2016-03-25 15:27:10"
"AULB72UYQJRO3GZ05FWP","ALVNLAB9WP9I4","2016-03-25 15:27:50"
"AUMNYBF1SK7VCR640QLG","AVX07V8SO0Q69","2016-03-25 15:29:27"
"AUB0MPDWI62NLFAGJ3XC","A1X4W7U82X07NG","2016-03-25 15:29:31"
"AUXJ0BP7W9V36RKF5ZC2","AYOLVUJBAIR0M","2016-03-25 15:30:32"
"AU7YZ6VOILKCWMS93FJ0","A19WXHQSBB6P6O","2016-03-25 15:32:43"
"AUIOYERNZPKJCAF45W0X","A1RN7D103KUVQ1","2016-03-25 15:32:53"
"AUY7DNJZQO8LM4G203CR","A3U5KFTZEOOT1Q","2016-03-25 15:33:51"
"AUGJZL90UIFONRE73X51","A2BWRGOY975VVV","2016-03-25 15:35:14"
"AUIFX71L2Z40G98DUWTK","A15GRSTO3CWT8O","2016-03-25 15:35:17"
"AUG8DIFYATXVJ9OZ5P40","A12J4IRF5Z06BT","2016-03-25 15:38:02"
"AUS5VYUG3T28JND6BWE0","A2HG74WSLQHHGV","2016-03-25 15:39:59"
"AUD7YCTX2RHO8F6ZAKNE","A28F1ZWZ9H0RHA","2016-03-25 15:40:38"
"AUUENH50R7JT6YQ42PMA","A23S3TBFRILU5H","2016-03-25 15:40:46"
"AUM0FVLUY1R9JXAOSDGW","A37MQE3V7PAGMB","2016-03-25 15:42:48"
"AUQUO1VKM30AWDG2YPZL","A23GWX64166H07","2016-03-25 15:44:38"
"AUCVTJOAL9WS52NZ3BIG","A34A7MN2SKHWUC","2016-03-25 15:44:49"
"AUCHOD9JMWRPF06B8QE4","A24WQ0ZEGXHX6J","2016-03-25 17:54:23"
"AULJD3P2WSGY8O6QAXN4","A2NXAUQWYSR5TZ","2016-03-25 15:45:52"
"AUD0OPEUB5K1AWMS437X","A5N6QK76RTR7R","2016-03-25 15:46:45"
"AU0JV2FUGSKHAMO7WR6Y","A299CU7U9QX3E7","2016-03-25 17:37:40"
"AU92TLWSYHJG3VZXPUE7","A3DBM65X3NT9OA","2016-03-25 15:47:24"
"AUZ7KPO0HR5B6EYSQ2LD","A1YATC681A2FIH","2016-03-25 15:47:31"
"AUD1G5ZXKWHVAIC96T7R","A39J3Y8YVC6AIZ","2016-03-25 15:47:45"
"AUC4HBVMIFNR67LOX8W3","ASTVJVEJBT47E","2016-03-25 15:48:42"
"AU6ZJ1EF0DXQA9SKBOLU","A26RO8GGTQAXGG","2016-03-25 15:51:10"
"AU5VOEADGRZITNM3F7UQ","AWDKL9UCVI0R2","2016-03-25 15:51:27"
"AUTLKGUVH5BMDQ28EZJW","A3SHLGG66PJXEB","2016-03-25 15:52:13"
"AUDR0V2G1MT8KH4PFWIL","A14LW6D1Q84FC6","2016-03-25 15:53:38"
"AUB5TFGOE73D9HCNWV28","A37TWHMLVYXK5G","2016-03-25 15:54:10"
"AUIY5K8S2BQUDWRO7MXH","A27PTCCQWWRF1K","2016-03-25 16:37:42"
"AUV2AFDMHZ71XUI6SCN9","A3V3GOQYTMMO5S","2016-03-25 15:58:24"
"AUJEHG7K3ICVDXAW8R9F","AW2TBYJM32KBE","2016-03-25 16:02:55"
"AUHGJS6FMX0DIO2LNYUP","A33W1CMQ38WYRK","2016-03-25 16:08:33"
"AU5NXK3JD2TZP6Y9HI7G","A11QDNT3W7DT7K","2016-03-25 16:09:09"
"AUV72LPXNWYRQUHCMOD5","A25L985XCNESXE","2016-03-25 16:18:18"
"AU6O5AZIGDQTJ3MX0Y9S","A1OQ52KDFMOJGR","2016-03-25 16:22:09"
"AUME15RFHYBT2OVISJDU","A36UGBUM4CKC0D","2016-03-25 16:32:11"
"AUULV5MQ2HG4D0F8ER7A","A381WH9M9O2WQY","2016-03-25 19:42:43"
"AUQUDWRB3OC92F6YAVHJ","A6FMGGN74ZJ7C","2016-03-25 16:47:24"
"AUO2V9D4KNXAJ7ICT08W","A341XKSRZ58FJK","2016-03-25 16:47:57"
"AU25DBH0NU97R6KIZGCJ","AMPMTF5IAAMK8","2016-03-25 16:56:38"
"AUJMKT4O28VUEAS3RLC1","A1GXFMAC759VRM","2016-03-25 17:24:55"
"AULBQFAO0WUNYZRPI15C","A24VTQ1UJ5XAST","2016-03-25 17:56:26"
"AUDG0V9T4WBOIHQY8UJF","A3MQOB5KZLZ3V9","2016-03-25 18:02:01"
"AUYN179MLJI5BV2OFR4H","A498BPKW6UKPL","2016-03-25 18:55:42"
"AUP9XFRNUI2BHJWO40ML","A3ILHE9QEMS56D","2016-03-25 18:39:32"
"AU4QM0CFOHIDX931EJUN","A1R3W25JDAUQ09","2016-03-25 18:41:11"
